wife,husband,2.3,N
book,text,6.35,N
groom,bride,3.17,N
night,day,1.88,N
south,north,2.2,N
plane,airport,3.65,N
uncle,aunt,5.5,N
horse,mare,8.33,N
bottom,top,0.7,N
friend,buddy,8.78,N
student,pupil,9.35,N
world,globe,6.67,N
leg,arm,2.88,N
plane,jet,8.1,N
woman,man,3.33,N
horse,colt,7.07,N
actress,actor,7.12,N
teacher,instructor,9.25,N
movie,film,8.87,N
bird,hawk,7.85,N
word,dictionary,3.68,N
money,salary,7.88,N
dog,cat,1.75,N
area,region,9.47,N
navy,army,6.43,N
book,literature,7.53,N
clothes,closet,3.27,N
sunset,sunrise,2.47,N
child,adult,2.98,N
cow,cattle,9.52,N
book,story,5.63,N
winter,summer,2.38,N
taxi,cab,9.2,N
tree,maple,5.53,N
bed,bedroom,3.4,N
roof,ceiling,7.58,N
disease,infection,7.15,N
arm,shoulder,4.85,N
sheep,lamb,8.42,N
lady,gentleman,3.42,N
boat,anchor,2.25,N
priest,monk,6.28,N
toe,finger,4.68,N
river,stream,7.3,N
anger,fury,8.73,N
date,calendar,4.42,N
sea,ocean,8.27,N
second,minute,4.62,N
hand,thumb,3.88,N
wood,log,7.3,N
mud,dirt,7.32,N
hallway,corridor,9.28,N
way,manner,7.62,N
mouse,cat,1.12,N
cop,sheriff,9.05,N
death,burial,4.93,N
music,melody,6.98,N
beer,alcohol,7.5,N
mouth,lip,7.1,N
storm,hurricane,6.38,N
tax,income,2.38,N
flower,violet,6.95,N
paper,cardboard,5.38,N
floor,ceiling,1.73,N
beach,seashore,8.33,N
rod,curtain,3.03,N
hound,fox,2.38,N
street,alley,5.48,N
boat,deck,4.28,N
car,horn,2.57,N
friend,guest,4.25,N
employer,employee,3.65,N
hand,wrist,3.97,N
ball,cannon,2.58,N
alcohol,brandy,6.98,N
victory,triumph,8.98,N
telephone,booth,3.63,N
door,doorway,5.4,N
motel,inn,8.17,N
clothes,cloth,5.47,N
steak,meat,7.47,N
nail,thumb,3.55,N
band,orchestra,7.08,N
book,bible,5,N
business,industry,7.02,N
winter,season,6.27,N
decade,century,3.48,N
alcohol,gin,8.65,N
hat,coat,2.67,N
window,door,3.33,N
arm,wrist,3.57,N
house,apartment,5.8,N
glass,crystal,6.27,N
wine,brandy,5.15,N
creator,maker,9.62,N
dinner,breakfast,3.33,N
arm,muscle,3.72,N
bubble,suds,8.57,N
bread,flour,3.33,N
death,tragedy,5.8,N
absence,presence,0.4,N
gun,cannon,5.68,N
grass,blade,4.57,N
ball,basket,1.67,N
hose,garden,1.67,N
boy,kid,7.5,N
church,choir,2.95,N
clothes,drawer,3.02,N
tower,bell,1.9,N
father,parent,7.07,N
school,grade,4.42,N
parent,adult,5.37,N
bar,jail,1.9,N
car,highway,3.4,N
dictionary,definition,6.25,N
door,cellar,1.97,N
army,legion,5.95,N
metal,aluminum,7.25,N
chair,bench,6.67,N
cloud,fog,6,N
boy,son,6.75,N
water,ice,6.47,N
bed,blanket,3.02,N
attorney,lawyer,9.35,N
area,zone,8.33,N
business,company,9.02,N
clothes,fabric,5.87,N
sweater,jacket,7.15,N
money,capital,6.67,N
hand,foot,4.17,N
alcohol,cocktail,6.73,N
yard,inch,3.78,N
molecule,atom,6.45,N
lens,camera,4.28,N
meal,dinner,7.15,N
eye,tear,3.55,N
god,devil,1.8,N
loop,belt,3.1,N
rat,mouse,7.78,N
motor,engine,8.65,N
car,cab,7.42,N
cat,lion,6.75,N
size,magnitude,6.33,N
reality,fantasy,1.03,N
door,gate,5.25,N
cat,pet,5.95,N
tin,aluminum,6.42,N
bone,jaw,4.17,N
cereal,wheat,3.75,N
house,key,1.9,N
blood,flesh,4.28,N
door,corridor,3.73,N
god,spirit,7.3,N
capability,competence,7.62,N
abundance,plenty,8.97,N
sofa,chair,6.67,N
wall,brick,4.68,N
horn,drum,2.68,N
organ,liver,6.15,N
strength,might,7.07,N
phrase,word,5.48,N
band,parade,3.92,N
stomach,waist,5.9,N
cloud,storm,5.6,N
joy,pride,5,N
noise,rattle,6.17,N
rain,mist,5.97,N
beer,beverage,5.42,N
man,uncle,3.92,N
apple,juice,2.88,N
intelligence,logic,6.5,N
communication,language,7.47,N
mink,fur,6.83,N
mob,crowd,7.85,N
shore,coast,8.83,N
wire,cord,7.62,N
bird,turkey,6.58,N
bed,crib,7.3,N
competence,ability,7.5,N
cloud,haze,7.32,N
supper,meal,7.53,N
bar,cage,2.8,N
water,salt,1.3,N
sense,intuition,7.68,N
situation,condition,6.58,N
crime,theft,7.53,N
style,fashion,8.5,N
boundary,border,9.08,N
arm,body,4.05,N
boat,car,2.37,N
sandwich,lunch,6.3,N
bride,princess,2.8,N
heroine,hero,8.78,N
car,gauge,1.13,N
insect,bee,6.07,N
crib,cradle,8.55,N
animal,person,3.05,N
marijuana,herb,6.5,N
bed,hospital,0.92,N
cheek,tongue,4.52,N
disc,computer,3.2,N
curve,angle,3.33,N
grass,moss,5,N
school,law,1.13,N
foot,head,2.3,N
mother,guardian,6.5,N
orthodontist,dentist,8.27,N
alcohol,whiskey,7.27,N
mouth,tooth,6.3,N
breakfast,bacon,4.37,N
bathroom,bedroom,3.4,N
plate,bowl,5.23,N
meat,bacon,5.8,N
air,helium,3.63,N
worker,employer,5.37,N
body,chest,4.45,N
son,father,3.82,N
heart,surgery,1.08,N
woman,secretary,1.98,N
man,father,4.83,N
beach,island,5.6,N
story,topic,5,N
game,fun,3.42,N
weekend,week,4,N
couple,pair,8.33,N
woman,wife,5.72,N
sheep,cattle,4.77,N
purse,bag,8.33,N
ceiling,cathedral,2.42,N
bean,coffee,5.15,N
wood,paper,2.88,N
top,side,1.9,N
crime,fraud,5.65,N
pain,harm,5.38,N
lover,companion,5.97,N
evening,dusk,7.78,N
father,daughter,2.62,N
wine,liquor,7.85,N
cow,goat,2.93,N
belief,opinion,7.7,N
reality,illusion,1.42,N
pact,agreement,9.02,N
wealth,poverty,1.27,N
accident,emergency,4.93,N
battle,conquest,7.22,N
friend,teacher,2.62,N
illness,infection,6.9,N
game,trick,2.32,N
brother,son,3.48,N
aunt,nephew,3.1,N
worker,mechanic,4.92,N
doctor,orthodontist,5.58,N
oak,maple,6.03,N
bee,queen,3.27,N
car,bicycle,3.47,N
goal,quest,5.83,N
august,month,5.53,N
army,squad,5.08,N
cloud,weather,4.87,N
physician,doctor,8.88,N
canyon,valley,6.75,N
river,valley,1.67,N
sun,sky,2.27,N
target,arrow,3.25,N
chocolate,pie,2.27,N
circumstance,situation,7.85,N
opinion,choice,5.43,N
rhythm,melody,6.12,N
gut,nerve,4.93,N
day,dawn,5.47,N
cattle,beef,7.03,N
doctor,professor,4.65,N
arm,vein,3.65,N
room,bath,3.33,N
corporation,business,9.02,N
fun,football,1.97,N
hill,cliff,4.28,N
bone,ankle,3.82,N
apple,candy,2.08,N
helper,maid,5.58,N
leader,manager,7.27,N
lemon,tea,1.6,N
bee,ant,2.78,N
basketball,baseball,4.92,N
rice,bean,2.72,N
bed,furniture,6.08,N
emotion,passion,7.72,N
anarchy,chaos,7.93,N
crime,violation,7.12,N
machine,engine,5.58,N
beach,sea,4.68,N
alley,bowl,1.53,N
jar,bottle,7.83,N
strength,capability,5.28,N
seed,mustard,3.48,N
guitar,drum,3.78,N
opinion,idea,5.7,N
north,west,3.63,N
diet,salad,2.98,N
mother,wife,3.02,N
dad,mother,3.55,N
captain,sailor,5,N
meter,yard,5.6,N
beer,champagne,4.45,N
motor,boat,2.57,N
card,bridge,1.97,N
science,psychology,4.92,N
sinner,saint,1.6,N
destruction,construction,0.98,N
crowd,bunch,7.42,N
beach,reef,3.77,N
man,child,4.13,N
bread,cheese,1.95,N
champion,winner,8.73,N
celebration,ceremony,7.72,N
menu,order,3.62,N
king,princess,3.27,N
wealth,prestige,6.07,N
endurance,strength,6.58,N
danger,threat,8.78,N
god,priest,4.5,N
men,fraternity,3.13,N
buddy,companion,8.65,N
teacher,helper,4.28,N
body,stomach,3.93,N
tongue,throat,3.1,N
house,carpet,1.38,N
intelligence,skill,5.35,N
journey,conquest,4.72,N
god,prey,1.23,N
brother,soul,0.97,N
adversary,opponent,9.05,N
death,catastrophe,4.13,N
monster,demon,6.95,N
day,morning,4.87,N
man,victor,1.9,N
friend,guy,3.88,N
song,story,3.97,N
ray,sunshine,6.83,N
guy,stud,5.83,N
chicken,rice,1.43,N
box,elevator,1.32,N
butter,potato,1.22,N
apartment,furniture,1.28,N
lake,swamp,4.92,N
salad,vinegar,1.13,N
flower,bulb,4.48,N
cloud,mist,6.67,N
driver,pilot,6.28,N
sugar,honey,5.13,N
body,shoulder,2.88,N
idea,image,3.55,N
father,brother,4.2,N
moon,planet,5.87,N
ball,costume,2.32,N
rail,fence,5.22,N
room,bed,2.35,N
flower,bush,4.25,N
bone,knee,4.17,N
arm,knee,2.75,N
bottom,side,2.63,N
vessel,vein,5.15,N
cat,rabbit,2.37,N
meat,sandwich,2.35,N
belief,concept,5.08,N
intelligence,insight,5.9,N
attention,interest,7.22,N
attitude,confidence,4.35,N
right,justice,7.05,N
argument,agreement,1.45,N
depth,magnitude,6.12,N
medium,news,3.65,N
winner,candidate,2.78,N
birthday,date,5.08,N
fee,payment,7.15,N
bible,hymn,5.15,N
exit,doorway,5.5,N
man,sentry,3.25,N
aisle,hall,6.35,N
whiskey,gin,6.28,N
blood,marrow,3.4,N
oil,mink,1.23,N
floor,deck,5.55,N
roof,floor,2.62,N
door,floor,1.67,N
shoulder,head,3.42,N
wagon,carriage,7.7,N
car,carriage,5.13,N
elbow,ankle,3.13,N
wealth,fame,4.02,N
sorrow,shame,4.77,N
administration,management,7.25,N
communication,conversation,8.02,N
pollution,atmosphere,4.25,N
anatomy,biology,5.33,N
college,profession,3.12,N
book,topic,2.07,N
formula,equation,7.95,N
book,information,5,N
boy,partner,1.9,N
sky,universe,4.68,N
population,people,7.68,N
college,class,4.13,N
chief,mayor,4.85,N
rabbi,minister,7.62,N
meter,inch,5.08,N
polyester,cotton,5.63,N
lawyer,banker,1.88,N
violin,instrument,6.58,N
camp,cabin,4.2,N
pot,appliance,2.53,N
linen,fabric,7.47,N
whiskey,champagne,5.33,N
girl,child,5.38,N
cottage,cabin,7.72,N
bird,hen,7.03,N
racket,noise,8.1,N
sunset,evening,5.98,N
drizzle,rain,9.17,N
adult,baby,2.22,N
charcoal,coal,7.63,N
body,spine,4.78,N
head,nail,2.47,N
log,timber,8.05,N
spoon,cup,2.02,N
body,nerve,3.13,N
man,husband,5.32,N
bone,neck,2.53,N
frustration,anger,6.5,N
river,sea,5.72,N
task,job,8.87,N
club,society,5.23,N
reflection,image,7.27,N
prince,king,5.92,N
snow,weather,5.48,N
people,party,2.2,N
boy,brother,6.67,N
root,grass,3.55,N
brow,eye,3.82,N
money,pearl,2.1,N
money,diamond,3.42,N
vehicle,bus,6.47,N
cab,bus,5.6,N
house,barn,4.33,N
finger,palm,3.33,N
car,bridge,0.95,N
effort,difficulty,4.45,N
fact,insight,4.77,N
job,management,3.97,N
cancer,sickness,7.93,N
word,newspaper,2.47,N
composer,writer,6.58,N
actor,singer,4.52,N
shelter,hut,6.47,N
bathroom,kitchen,3.1,N
cabin,hut,6.53,N
door,kitchen,1.67,N
value,belief,7.07,N
wisdom,intelligence,7.47,N
ignorance,intelligence,1.5,N
happiness,luck,2.38,N
idea,scheme,6.75,N
mood,emotion,8.12,N
happiness,peace,6.03,N
despair,misery,7.22,N
logic,arithmetic,3.97,N
denial,confession,1.03,N
argument,criticism,5.08,N
aggression,hostility,8.48,N
hysteria,confusion,6.33,N
chemistry,theory,3.17,N
trial,verdict,3.33,N
comfort,safety,5.8,N
confidence,self,3.12,N
vision,perception,6.88,N
era,decade,5.4,N
biography,fiction,1.38,N
discussion,argument,5.48,N
code,symbol,6.03,N
danger,disease,3,N
accident,catastrophe,5.9,N
journey,trip,8.88,N
activity,movement,7.15,N
gossip,news,5.22,N
father,god,3.57,N
action,course,5.45,N
fever,illness,7.65,N
aviation,flight,8.18,N
game,action,4.85,N
molecule,air,3.05,N
home,state,2.58,N
word,literature,4.77,N
adult,guardian,6.9,N
newspaper,information,5.65,N
communication,television,5.6,N
cousin,uncle,4.63,N
author,reader,1.6,N
guy,partner,3.57,N
area,corner,2.07,N
ballad,song,7.53,N
wall,decoration,2.62,N
word,page,2.92,N
nurse,scientist,2.08,N
politician,president,7.38,N
president,mayor,5.68,N
book,essay,4.72,N
man,warrior,4.72,N
article,journal,6.18,N
breakfast,supper,4.4,N
crowd,parade,3.93,N
aisle,hallway,6.75,N
teacher,rabbi,4.37,N
hip,lip,1.43,N
book,article,5.43,N
room,cell,4.58,N
box,booth,3.8,N
daughter,kid,4.17,N
limb,leg,6.9,N
liver,lung,2.7,N
classroom,hallway,2,N
mountain,ledge,3.73,N
car,elevator,1.03,N
bed,couch,3.42,N
clothes,button,2.3,N
clothes,coat,5.35,N
kidney,organ,6.17,N
apple,sauce,1.43,N
chicken,steak,3.73,N
car,hose,0.87,N
tobacco,cigarette,7.5,N
student,professor,1.95,N
baby,daughter,5,N
pipe,cigar,6.03,N
milk,juice,4.05,N
box,cigar,1.25,N
apartment,hotel,3.33,N
cup,cone,3.17,N
horse,ox,3.02,N
throat,nose,2.8,N
bone,teeth,4.17,N
bone,elbow,3.78,N
bacon,bean,1.22,N
cup,jar,5.13,N
proof,fact,7.3,N
appointment,engagement,6.75,N
birthday,year,1.67,N
word,clue,2.53,N
author,creator,8.02,N
atom,carbon,3.1,N
archbishop,bishop,7.05,N
letter,paragraph,4,N
page,paragraph,3.03,N
steeple,chapel,7.08,N
muscle,bone,3.65,N
muscle,tongue,5,N
boy,soldier,2.15,N
belly,abdomen,8.13,N
guy,girl,3.33,N
bed,chair,3.5,N
clothes,jacket,5.15,N
gun,knife,3.65,N
tin,metal,5.63,N
bottle,container,7.93,N
hen,turkey,6.13,N
meat,bread,1.67,N
arm,bone,3.83,N
neck,spine,5.32,N
apple,lemon,4.05,N
agony,grief,7.63,N
assignment,task,8.7,N
night,dawn,2.95,N
dinner,soup,3.72,N
calf,bull,4.93,N
snow,storm,4.8,N
nail,hand,3.42,N
dog,horse,2.38,N
arm,neck,1.58,N
ball,glove,1.75,N
flu,fever,6.08,N
fee,salary,3.72,N
nerve,brain,3.88,N
beast,animal,7.83,N
dinner,chicken,2.85,N
girl,maid,2.93,N
child,boy,5.75,N
alcohol,wine,7.42,N
nose,mouth,3.73,N
street,car,2.38,N
bell,door,2.2,N
box,hat,1.3,N
belief,impression,5.95,N
bias,opinion,5.6,N
attention,awareness,8.73,N
anger,mood,4.1,N
elegance,style,5.72,N
beauty,age,1.58,N
book,theme,2.58,N
friend,mother,2.53,N
vitamin,iron,5.55,N
car,factory,2.75,N
pact,condition,2.45,N
chapter,choice,0.48,N
arithmetic,rhythm,2.35,N
winner,presence,1.08,N
belief,flower,0.4,N
winner,goal,3.23,N
trick,size,0.48,N
choice,vein,0.98,N
hymn,conquest,0.68,N
endurance,band,0.4,N
jail,choice,1.08,N
condition,boy,0.48,N
flower,endurance,0.4,N
hole,agreement,0.3,N
doctor,temper,0.48,N
fraternity,door,0.68,N
task,woman,0.68,N
fraternity,baseball,0.88,N
cent,size,0.4,N
presence,door,0.48,N
mouse,management,0.48,N
task,highway,0.48,N
liquor,century,0.4,N
task,straw,0.68,N
island,task,0.3,N
night,chapter,0.48,N
pollution,president,0.68,N
gun,trick,0.48,N
bath,trick,0.58,N
diet,apple,1.18,N
cent,wife,0.58,N
chapter,tail,0.3,N
course,stomach,0.58,N
hymn,straw,0.4,N
dentist,colonel,0.4,N
wife,straw,0.4,N
hole,wife,0.68,N
pupil,president,0.78,N
bath,wife,0.48,N
people,cent,0.48,N
formula,log,1.77,N
woman,fur,0.58,N
apple,sunshine,0.58,N
gun,dawn,1.18,N
meal,waist,0.98,N
camera,president,0.48,N
liquor,band,0.68,N
stomach,vein,2.35,N
gun,fur,0.3,N
couch,baseball,0.88,N
worker,camera,0.68,N
deck,mouse,0.48,N
rice,boy,0.4,N
people,gun,0.68,N
cliff,tail,0.3,N
ankle,window,0.3,N
princess,island,0.3,N
container,mouse,0.3,N
wagon,container,2.65,N
people,balloon,0.48,N
dollar,people,0.4,N
bath,balloon,0.4,N
stomach,bedroom,0.4,N
bicycle,bedroom,0.4,N
log,bath,0.4,N
bowl,tail,0.48,N