Wordpair,GoldSimilarity,WW,CC,BB,WC,CW,RW0W1,RW1W0,RW0C1,RW1C0
airplane-pilot,88,0.649811527144,0.604288458824,0.633545994759,0.421097899741,0.356376307443,[242],[45],[7],[12]
airplane-flight,77,0.739267512516,0.694970011711,0.733168574194,0.477271019058,0.453175961971,[9],[5],[1],[5]
airplane-sky,61,0.373136095592,0.333325316508,0.293445020914,0.135398314643,0.0906310081482,[143666],[248355],[1564],[1765]
airplane-cloud,41,0.279557423565,0.299784809351,0.213524311781,0.0810888159924,0.0327061861753,[647515],[535581],[3612],[10655]
airplane-airport,41,0.432041939023,0.464620172977,0.400573194027,0.189313646514,0.154610082507,[51484],[6980],[613],[773]
airplane-travel,32,0.349018794181,0.290950328112,0.30446729064,0.178251068488,0.12593657529,[219206],[191205],[733],[468]
airplane-wings,30,0.39032428803,0.3926089342,0.345020523371,0.200299942529,0.108583658934,[106349],[76219],[522],[3990]
airplane-passenger,24,0.538650696117,0.495451241461,0.475958645344,0.246536463086,0.22013169349,[7180],[5163],[207],[374]
airplane-flight_attendant,20,0.518121213801,0.565468046991,0.503470420837,0.211512292804,0.222759023309,[11035],[804],[421],[31]
airplane-food,18,0.22516234071,0.161832302809,0.0831813340295,-0.0234247609034,-0.093527905643,[1242048],[1228114],[17065],[43230]
airplane-seats,17,0.232684387725,0.221495360136,0.148236134543,0.0183270565913,-0.0012038089335,[1148174],[294156],[9350],[10847]
airplane-runway,15,0.528065832142,0.4917062819,0.457253903151,0.228644950905,0.193978339434,[9002],[152],[302],[58]
airplane-luggage,14,0.541884156578,0.519637823105,0.479693472385,0.210732725902,0.207084685564,[6673],[2770],[427],[204]
apple-tree,73,0.350571811199,0.347002476454,0.29511910677,0.118580073118,0.16570712626,[185409],[280995],[3203],[1296]
apple-red,40,0.336945563555,0.266643212238,0.280401349068,0.169929246302,0.175995692611,[229736],[201899],[1347],[1792]
apple-pie,37,0.406768292189,0.362750700876,0.34865257144,0.144385838174,0.226480603218,[79505],[62539],[2104],[531]
apple-orange,32,0.35701239109,0.315723020775,0.309502564728,0.185486923783,0.181650564075,[167524],[64645],[1001],[1437]
apple-fruit,32,0.41715452075,0.365121215582,0.35637113452,0.154075399041,0.220208674669,[68642],[94878],[1763],[1916]
apple-worm,29,0.34902626276,0.385467433063,0.294253605262,0.0736369534515,0.131224691868,[189988],[513119],[6255],[3173]
apple-banana,24,0.48119956255,0.391576826572,0.414836645126,0.165779739618,0.3409101367,[26399],[22113],[1451],[485]
apple-core,23,0.284878509335,0.200921714306,0.183780621516,0.0616996735334,0.0440913614089,[512388],[924352],[7420],[5738]
apple-teacher,22,0.0769938379526,0.0266648009419,-0.0375841669738,-0.0942710787058,-0.130987718701,[2879019],[2943482],[58723],[93549]
apple-seeds,21,0.181725621223,0.228005975485,0.172827124596,0.0670794025064,0.100768350065,[1673691],[166193],[6859],[7339]
apple-green,19,0.381809844755,0.27066424489,0.303469538689,0.182075172663,0.183390342189,[114844],[71217],[1065],[591]
apple-orchard,18,0.447606411434,0.361890188568,0.357723534107,0.127351097903,0.208165613304,[44185],[53225],[2781],[264]
apple-juice,17,0.489707112312,0.359904676676,0.393308305342,0.172091424465,0.262573212385,[23010],[26758],[1302],[927]
apple-autumn,16,0.232203408015,0.16834308207,0.170716583729,0.0613789670169,0.0790219130529,[1017435],[1059415],[7436],[836]
apple-leaf,14,0.316246032715,0.367336020787,0.271298319101,0.0815642229838,0.106501936913,[318395],[399100],[5552],[7902]
axe-tree,141,0.381279587746,0.361616164446,0.31680431962,0.175804495811,0.0880007073283,[134292],[175573],[547],[4454]
axe-wood,137,0.439967244864,0.346902698278,0.366693258286,0.256219357252,0.128786504269,[36093],[50501],[76],[2200]
axe-lumberjack,39,0.463353276253,0.436804592609,0.411860525608,0.118627011776,0.199360951781,[20125],[15896],[1768],[199]
axe-fire,30,0.457996547222,0.331055045128,0.378544509411,0.265827834606,0.131733477116,[23168],[25496],[62],[814]
axe-metal,25,0.452086865902,0.42862668208,0.41314175725,0.261349485001,0.173575773835,[26838],[54974],[70],[1471]
axe-murderer,21,0.360307446737,0.377457499504,0.305479317904,0.0401919186115,0.108852430216,[203912],[411844],[7064],[3584]
axe-cutting,20,0.476137754457,0.363371312618,0.416379123926,0.24195663631,0.183031193379,[14441],[16335],[112],[559]
axe-handle,15,0.345079561775,0.296041846275,0.275562286377,0.0947428196669,0.0546148600945,[270287],[412834],[2776],[3802]
baby-crib,54,0.579260766506,0.481240540743,0.504161298771,0.124353326857,0.262532144785,[7260],[1897],[2768],[14]
baby-mother,52,0.637721874578,0.60382270813,0.635692910635,0.368562459946,0.320725191875,[635],[753],[4],[11]
baby-diaper,45,0.535583019257,0.481975911973,0.486589608978,0.164137194403,0.255636125803,[23508],[12561],[1334],[177]
baby-bottle,42,0.547243985369,0.526102185249,0.486863104923,0.227268397808,0.224894089991,[17847],[11769],[313],[511]
baby-small,32,0.221190735698,0.137273409204,0.138510631145,0.0762037531259,0.00155367143452,[1681704],[1470844],[6033],[12388]
baby-cute,30,0.533397197723,0.495765388012,0.472620722368,0.232926785946,0.215115442872,[24726],[16432],[258],[779]
baby-soother,30,0.468221006883,0.225827768445,0.245371102459,-0.323843061924,0.0947467219679,[87809],[500277],[405257],[478]
baby-blanket,29,0.468779563904,0.406603526282,0.372689589583,0.0814417727063,0.198213934898,[86987],[40420],[5603],[351]
baby-milk,25,0.427346536237,0.392489552498,0.359871937021,0.167490065098,0.191814206026,[168842],[54469],[1240],[2382]
baby-toy,20,0.505167007446,0.45178258419,0.432405880976,0.165430724621,0.246831580997,[44932],[16732],[1292],[113]
bag-groceries,75,0.579917311668,0.46875414066,0.481211811304,0.175286799669,0.286218302621,[3532],[2349],[1080],[170]
bag-plastic,36,0.577290450173,0.543339761695,0.533075451851,0.283499866724,0.326362529559,[3832],[15699],[81],[145]
bag-book,35,0.295903283113,0.245032876138,0.186295181513,0.0742106332904,-0.0413435374312,[759145],[688764],[5865],[22701]
bag-paper,31,0.4532044204,0.330282369886,0.33174197863,0.172542552503,0.115864804788,[68551],[18401],[1156],[963]
bag-school,29,0.187553286552,0.120378747307,0.0574466778402,-0.000496424734592,-0.126598201787,[1977195],[1750055],[15858],[65987]
bag-handles,25,0.368360370398,0.315098066038,0.314444501069,0.132311612368,0.157571161245,[287061],[111285],[2389],[475]
bag-computer,19,0.297411161507,0.276148097286,0.184137403965,0.0202828161418,0.00254181546658,[745934],[652676],[12264],[17706]
bag-woman,19,0.339078634977,0.261348680338,0.243225604296,0.127038240433,0.0409745896443,[438991],[338805],[2643],[5380]
bag-zipper,19,0.563061092082,0.468671439211,0.485080033541,0.146522432566,0.273870083555,[5750],[7053],[1853],[47]
bag-hand,18,0.570131480694,0.48056587461,0.494725733681,0.269445002079,0.211680797439,[4734],[915],[119],[112]
baker-bread,118,0.184900473648,0.154563114047,0.0813000399649,-0.104387946427,0.0145423458244,[2345456],[1554356],[49941],[11460]
baker-cake,85,0.23354114494,0.143507593483,0.12714831531,-0.0402215892209,0.0544327939709,[1913238],[1207912],[25474],[8779]
baker-oven,44,0.179261516289,0.127792306411,0.0472149848938,-0.154468098549,-0.0134341184607,[2393192],[1754996],[83080],[18901]
baker-cookies,40,0.145234478088,0.145913228393,0.0529733225703,-0.105251640081,-0.0254755716204,[2661273],[1980046],[50382],[24656]
baker-bakery,35,0.246940687299,0.215380890094,0.194829016924,0.041501949221,0.0815941095352,[1791741],[982023],[11026],[3573]
baker-flour,34,0.193089228457,0.184904322028,0.115112400956,-0.0665247514844,0.0419028053822,[2274624],[1141762],[33644],[10979]
baker-cupcakes,24,0.240529790521,0.162293176378,0.112297824758,-0.0888246862501,0.022146999836,[1849868],[1196616],[42417],[12104]
baker-pie,22,0.240320920944,0.0683511685342,0.0820847153664,-0.0883290224271,0.0338294580579,[1851674],[1162173],[42192],[9579]
baker-dough,19,0.13720241189,0.111732408404,0.00919374264777,-0.178798958659,-0.0426641479135,[2717994],[2063122],[104815],[24734]
baker-apron,17,0.155656516552,0.0803211629391,-0.0052141652746,-0.171133235097,-0.0807135775685,[2583376],[2052639],[97405],[39368]
baker-pastries,16,0.134685769677,0.0613378435373,-0.0169195439667,-0.21858382225,-0.0279003232718